pulled_at,calendar_year,date,dk_ownerships,dk_salaries,event_id,event_name,fd_ownerships,fd_salaries,tour
2026-07-13T05:31:47+00:00,2020,2020-07-26,yes,yes,525,3M Open,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-07-25,no,no,2020066,Betfred British Masters hosted by Lee Westwood,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-07-19,yes,yes,23,the Memorial Tournament presented by Nationwide,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-07-18,no,no,2020732,Euram Bank Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-07-12,yes,yes,533,Workday Charity Open,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-07-12,no,no,2020731,Austrian Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-07-05,yes,yes,524,Rocket Mortgage Classic,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-06-28,yes,yes,34,Travelers Championship,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-06-21,yes,yes,12,RBC Heritage,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-06-14,yes,yes,21,Charles Schwab Challenge,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-03-08,yes,yes,9,Arnold Palmer Invitational presented by Mastercard,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-03-08,no,no,2020022,Commercial Bank Qatar Masters,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-03-01,no,no,2020020,Oman Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-03-01,yes,yes,10,The Honda Classic,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-02-23,yes,yes,483,Puerto Rico Open,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-02-23,yes,yes,473,World Golf Championships-Mexico Championship,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-02-16,yes,yes,7,The Genesis Invitational,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-02-09,yes,yes,5,AT&T Pebble Beach Pro-Am,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-02-09,no,no,2020014,ISPS Handa Vic Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-02-02,yes,yes,3,Waste Management Phoenix Open,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-02-02,no,no,2020012,Saudi International powered by SoftBank Investment Advisors,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-01-26,yes,yes,4,Farmers Insurance Open,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-01-26,no,no,2020010,Omega Dubai Desert Classic,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-01-19,yes,yes,2,The American Express,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-01-19,no,no,2020008,Abu Dhabi HSBC Championship presented by EGA,no,no,euro
