player_1,player_2,win_percent,wins_of_10000
Daniel Berger,Adrien Saddier,44.5,4449
Daniel Berger,Gordon Sargent,52.7,5270
Daniel Berger,Adam Schenk,55.1,5508
Daniel Berger,Matti Schmid,49.7,4972
Daniel Berger,Ben Silverman,39.3,3932
Daniel Berger,Webb Simpson,54.3,5428
Daniel Berger,Alex Smalley,34.4,3438
Daniel Berger,Jordan Smith,27.6,2756
Daniel Berger,Austin Smotherman,49.0,4904
Daniel Berger,Brandt Snedeker,33.7,3372
Daniel Berger,Jordan Spieth,42.5,4248
Daniel Berger,Sam Stevens,46.5,4652
Daniel Berger,Sepp Straka,43.2,4322
Daniel Berger,Kevin Streelman,38.5,3850
Daniel Berger,Jackson Suber,30.3,3033
Daniel Berger,Adam Svensson,47.7,4770
Daniel Berger,Jesper Svensson,45.1,4510
Daniel Berger,Nick Taylor,31.5,3151
Daniel Berger,Sahith Theegala,36.8,3676
Daniel Berger,Justin Thomas,21.8,2180
Daniel Berger,Davis Thompson,30.7,3072
Daniel Berger,Alejandro Tosti,62.3,6229
Daniel Berger,Erik van Rooyen,39.6,3964
Daniel Berger,John VanDerLaan,51.7,5168
Daniel Berger,Karl Vilips,50.8,5076
Daniel Berger,Camilo Villegas,43.6,4361
Daniel Berger,Danny Walker,67.4,6737
Daniel Berger,Matt Wallace,30.5,3048
Daniel Berger,Vince Whaley,55.4,5539
Daniel Berger,Aaron Wise,35.7,3570
Daniel Berger,Dylan Wu,48.7,4869
Daniel Berger,Cameron Young,21.6,2161
Daniel Berger,Kevin Yu,30.9,3092
Zac Blair,Zach Bauchou,63.0,6296
Zac Blair,Christiaan Bezuidenhout,54.1,5407
Zac Blair,Daniel Berger,75.5,7549
Zac Blair,Chandler Blanchet,70.5,7046
Zac Blair,Keegan Bradley,52.9,5290
Zac Blair,Michael Brennan,61.1,6112
Zac Blair,Brian Campbell,73.7,7374
Zac Blair,Rafael Campos,78.7,7873
Zac Blair,Ricky Castillo,62.1,6213
Zac Blair,Bud Cauley,48.6,4857
Zac Blair,Davis Chatfield,62.2,6220
Zac Blair,Luke Clanton,66.2,6618
Zac Blair,Eric Cole,58.2,5818
Zac Blair,Pierceson Coody,72.3,7233
Zac Blair,Joel Dahmen,59.9,5992
Zac Blair,Cam Davis,82.3,8227
Zac Blair,Jason Day,72.4,7242
Zac Blair,Zecheng Dou,69.3,6926
Zac Blair,Adrien Dumont de Chassart,72.2,7221
Zac Blair,Nick Dunlap,77.6,7761
Zac Blair,Nico Echavarria,59.7,5974
Zac Blair,Austin Eckroat,67.3,6731
Zac Blair,Harris English,57.2,5724
Zac Blair,Tony Finau,70.4,7042
Zac Blair,Patrick Fishburn,63.8,6380
Zac Blair,Steven Fisk,73.2,7325
Zac Blair,Alex Fitzpatrick,46.3,4633
Zac Blair,Brice Garnett,66.4,6639
Zac Blair,Ryan Gerard,47.6,4759
Zac Blair,Doug Ghim,50.6,5065
Zac Blair,Lucas Glover,63.7,6369
Zac Blair,Max Greyserman,71.2,7116
Zac Blair,Ben Griffin,47.2,4721
Zac Blair,Lanto Griffin,72.2,7225
Zac Blair,Emiliano Grillo,51.0,5098
Zac Blair,Harry Hall,73.7,7370
Zac Blair,Brian Harman,52.1,5215
Zac Blair,Garrick Higgo,77.1,7710
Zac Blair,Joe Highsmith,76.3,7630
Zac Blair,Kensei Hirata,80.5,8049
Zac Blair,Ryo Hisatsune,59.4,5937
Zac Blair,Lee Hodges,58.5,5846
Zac Blair,Rico Hoey,65.8,6575
Zac Blair,Tom Hoge,65.7,6571
Zac Blair,Rasmus Hojgaard,73.9,7395
Zac Blair,Billy Horschel,60.5,6049
Zac Blair,Beau Hossler,61.6,6157
Zac Blair,Mark Hubbard,67.7,6769
Zac Blair,Mackenzie Hughes,61.6,6157
Zac Blair,Sungjae Im,61.4,6140
Zac Blair,Stephan Jaeger,74.5,7454
Zac Blair,Ben James,56.5,5653
Zac Blair,Takumi Kanaya,67.5,6751
Zac Blair,Jeffrey Kang,73.2,7316
Zac Blair,Johnny Keefer,62.7,6269
Zac Blair,Michael Kim,60.0,6000
Zac Blair,Tom Kim,45.3,4531
Zac Blair,Chris Kirk,64.4,6437
Zac Blair,Patton Kizzire,92.4,9237
Zac Blair,Brooks Koepka,61.0,6098
Zac Blair,Ben Kohles,43.8,4383
Zac Blair,Jackson Koivun,47.0,4702
Zac Blair,Matt Kuchar,54.3,5433
Zac Blair,Christo Lamprecht,93.4,9342
Zac Blair,Hank Lebioda,75.3,7533
Zac Blair,Haotong Li,78.5,7848
Zac Blair,David Lipsky,65.5,6552
Zac Blair,Luke List,69.3,6926
Zac Blair,Justin Lower,71.0,7102
Zac Blair,Peter Malnati,82.4,8238
Zac Blair,Hideki Matsuyama,48.5,4848
Zac Blair,Denny McCarthy,59.9,5989
Zac Blair,Matt McCarty,65.2,6524
Zac Blair,Max McGreevy,59.8,5980
Zac Blair,Maverick McNealy,58.7,5870
Zac Blair,Mac Meissner,55.8,5580
Zac Blair,Keith Mitchell,59.2,5919
Zac Blair,Taylor Moore,71.3,7129
Zac Blair,William Mouw,63.0,6299
Zac Blair,Rasmus Neergaard-Petersen,59.8,5976
Zac Blair,Alex Noren,61.5,6149
Zac Blair,Andrew Novak,69.0,6902
Zac Blair,Pontus Nyholm,77.8,7778
Zac Blair,Thorbjorn Olesen,75.0,7497
Zac Blair,John Parry,69.0,6904
Zac Blair,Matthieu Pavon,73.5,7352
Zac Blair,Taylor Pendrith,73.4,7336
Zac Blair,Marco Penge,62.8,6284
Zac Blair,Chandler Phillips,64.1,6411
Zac Blair,J.T. Poston,51.5,5155
Zac Blair,Aldrich Potgieter,74.9,7489
Zac Blair,Seamus Power,69.2,6921
Zac Blair,Andrew Putnam,62.6,6263
Zac Blair,Aaron Rai,47.5,4754
Zac Blair,Chad Ramey,81.1,8105
Zac Blair,Davis Riley,76.5,7648
Zac Blair,Patrick Rodgers,79.8,7978
Zac Blair,Kevin Roy,69.8,6981
Zac Blair,Marcelo Rozo,76.5,7646
Zac Blair,Adrien Saddier,70.9,7093
Zac Blair,Gordon Sargent,77.6,7757
Zac Blair,Adam Schenk,79.3,7932
Zac Blair,Matti Schmid,75.3,7527
Zac Blair,Ben Silverman,66.2,6623
Zac Blair,Webb Simpson,78.7,7874
Zac Blair,Alex Smalley,61.3,6133
Zac Blair,Jordan Smith,53.7,5374
Zac Blair,Austin Smotherman,74.7,7473
Zac Blair,Brandt Snedeker,60.6,6063
Zac Blair,Jordan Spieth,69.2,6916
Zac Blair,Sam Stevens,72.7,7266
Zac Blair,Sepp Straka,69.8,6982
Zac Blair,Kevin Streelman,65.5,6545
Zac Blair,Jackson Suber,56.9,5694
Zac Blair,Adam Svensson,73.6,7363
Zac Blair,Jesper Svensson,71.5,7145
Zac Blair,Nick Taylor,58.3,5826
Zac Blair,Sahith Theegala,63.7,6374
Zac Blair,Justin Thomas,46.4,4645
Zac Blair,Davis Thompson,57.4,5738
Zac Blair,Alejandro Tosti,84.2,8421
Zac Blair,Erik van Rooyen,66.5,6653
Zac Blair,John VanDerLaan,76.8,7679
Zac Blair,Karl Vilips,76.1,7608
Zac Blair,Camilo Villegas,70.2,7016
Zac Blair,Danny Walker,87.3,8729
Zac Blair,Matt Wallace,57.1,5711
Zac Blair,Vince Whaley,79.5,7954
Zac Blair,Aaron Wise,62.7,6268
Zac Blair,Dylan Wu,74.4,7444
Zac Blair,Cameron Young,46.2,4619
Zac Blair,Kevin Yu,57.6,5760
Chandler Blanchet,Zach Bauchou,41.8,4180
Chandler Blanchet,Christiaan Bezuidenhout,33.2,3316
Chandler Blanchet,Daniel Berger,56.1,5605
Chandler Blanchet,Zac Blair,29.5,2954
Chandler Blanchet,Keegan Bradley,32.1,3210
Chandler Blanchet,Michael Brennan,39.9,3993
Chandler Blanchet,Brian Campbell,53.9,5389
Chandler Blanchet,Rafael Campos,60.2,6024
Chandler Blanchet,Ricky Castillo,41.0,4096
Chandler Blanchet,Bud Cauley,28.3,2832
Chandler Blanchet,Davis Chatfield,41.0,4103
Chandler Blanchet,Luke Clanton,45.2,4521
Chandler Blanchet,Eric Cole,37.0,3703
Chandler Blanchet,Pierceson Coody,52.2,5219
Chandler Blanchet,Joel Dahmen,38.7,3873
Chandler Blanchet,Cam Davis,65.1,6510
Chandler Blanchet,Jason Day,52.3,5230
Chandler Blanchet,Zecheng Dou,48.6,4863
