Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour
David Skinns,-0.22,1.059,0.015,-0.193,0.005,0,-0.39,-0.04,Biltmore Championship Asheville,PGA Tour
Austin Smotherman,0.163,1.059,0.331,-0.473,-0.294,0,-0.27,-0.04,Biltmore Championship Asheville,PGA Tour
Hayden Springer,-0.111,1.059,-0.297,0.276,-0.02,0,-0.15,-0.04,Biltmore Championship Asheville,PGA Tour
Jimmy Stanger,0.088,1.059,-0.644,-0.111,-0.112,0,-0.78,-0.04,Biltmore Championship Asheville,PGA Tour
Kevin Streelman,-0.134,1.059,-0.224,-0.149,-0.124,0,-0.63,-0.04,Biltmore Championship Asheville,PGA Tour
Jackson Suber,0.144,1.059,0.316,-0.02,0.071,0,0.51,-0.04,Biltmore Championship Asheville,PGA Tour
Adam Svensson,-0.49,1.059,-0.186,-0.238,0.024,0,-0.89,-0.04,Biltmore Championship Asheville,PGA Tour
Jesper Svensson,0.227,1.059,-0.225,-0.217,-0.062,0,-0.28,-0.04,Biltmore Championship Asheville,PGA Tour
Nick Taylor,-0.122,1.059,0.0,0.331,0.192,0,0.4,-0.04,Biltmore Championship Asheville,PGA Tour
Davis Thompson,0.284,1.059,0.585,-0.06,0.006,0,0.81,-0.04,Biltmore Championship Asheville,PGA Tour
Alejandro Tosti,0.008,1.059,-0.579,-0.548,-0.052,0,-1.17,-0.04,Biltmore Championship Asheville,PGA Tour
Erik Van Rooyen,-0.164,1.059,-0.457,0.25,0.038,0,-0.33,-0.04,Biltmore Championship Asheville,PGA Tour
John VanDerLaan,0.012,1.059,-0.472,-0.176,-0.02,0,-0.66,-0.04,Biltmore Championship Asheville,PGA Tour
Kristoffer Ventura,0.478,1.059,-0.004,0.022,-0.116,0,0.38,-0.04,Biltmore Championship Asheville,PGA Tour
Karl Vilips,-0.263,1.059,0.027,0.023,-0.019,0,-0.23,-0.04,Biltmore Championship Asheville,PGA Tour
Camilo Villegas,-0.898,1.059,-0.397,0.006,0.05,0,-1.24,-0.04,Biltmore Championship Asheville,PGA Tour
Danny Walker,-0.238,1.059,-0.345,-0.251,-0.129,0,-0.96,-0.04,Biltmore Championship Asheville,PGA Tour
Vince Whaley,-0.79,1.059,-0.579,0.378,0.161,0,-0.83,-0.04,Biltmore Championship Asheville,PGA Tour
Dylan Wu,-0.493,1.059,-0.145,-0.111,-0.05,0,-0.8,-0.04,Biltmore Championship Asheville,PGA Tour
Kevin Yu,0.272,1.059,0.143,0.109,0.046,0,0.57,-0.04,Biltmore Championship Asheville,PGA Tour
